,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,George Adams,SF,23,SDA,60,,14.4,2.6,5.2,.490,0.0,0.1,.286,2.5,5.1,.495,.494,1.1,1.4,.783,1.3,2.2,3.4,1.1,,,1.1,1.6,6.2
1,Jim Ard,C,24,NYA,42,,10.1,1.3,3.3,.379,0.0,0.1,.000,1.3,3.2,.390,.379,0.8,1.2,.680,1.1,2.4,3.5,0.3,,,0.7,1.2,3.3
2,Bob Arnzen,SF,25,INA,23,,4.8,0.9,1.7,.526,0.0,0.1,.000,0.9,1.5,.571,.526,0.3,0.3,.750,0.5,0.5,1.0,0.1,,,0.0,0.5,2.0
3,Henry Bacon,SG,24,SDA,47,,9.0,1.3,3.5,.366,0.0,0.2,.200,1.2,3.3,.377,.372,0.9,1.6,.603,0.9,0.9,1.7,0.8,,,1.4,1.5,3.5
4,Mike Barr,SG,22,VIR,79,,26.3,3.7,7.7,.472,0.0,0.1,.250,3.6,7.7,.474,.473,1.8,2.4,.750,1.0,1.9,2.9,3.2,,,2.3,2.8,9.1
5,Mike Barrett,SG,29,SDA,19,,14.9,1.9,5.3,.366,0.2,1.1,.200,1.7,4.3,.407,.386,0.9,1.8,.514,0.4,0.8,1.3,2.4,,,2.1,1.5,5.1
6,Johnny Baum,SF,26,NYA,75,,14.3,2.9,5.8,.505,0.0,0.0,.000,2.9,5.8,.507,.505,1.4,1.9,.748,1.0,1.7,2.7,0.4,,,1.0,1.3,7.3
7,John Beasley,PF,28,UTS,71,,13.2,3.0,5.9,.513,0.4,1.3,.326,2.6,4.6,.564,.548,0.9,1.0,.886,1.2,2.6,3.7,0.6,,,0.5,2.0,7.3
8,Zelmo Beaty*,PF,33,UTS,82,,34.2,6.4,12.2,.520,0.0,0.0,.000,6.4,12.2,.520,.520,3.7,4.6,.803,3.2,6.6,9.8,1.5,,1.0,2.4,3.3,16.4
9,Byron Beck,C,28,DNR,77,,29.9,6.1,11.4,.530,0.0,0.1,.286,6.0,11.3,.532,.531,2.1,2.6,.798,2.6,4.3,7.0,1.4,,,1.6,3.5,14.2
10,Arthur Becker,PF,31,TOT,14,,6.9,1.1,2.0,.571,0.0,0.1,.000,1.1,1.9,.593,.571,0.8,0.8,1.000,0.4,0.9,1.3,0.1,,,0.4,0.4,3.1
11,Ron Boone,SG,26,UTS,84,,30.8,6.7,13.5,.498,0.1,0.5,.250,6.6,13.0,.507,.503,4.9,5.7,.866,2.1,3.0,5.1,4.2,,,3.3,3.7,18.5
12,Roger Brown*,SF,30,INA,72,,30.2,4.6,9.7,.474,0.6,1.6,.356,4.0,8.1,.498,.504,2.8,3.4,.822,1.5,3.3,4.8,2.8,,,1.7,2.5,12.6
13,Roger Brown,C,22,CAR,62,,9.3,1.0,2.1,.457,0.0,0.0,,1.0,2.1,.457,.457,0.5,0.8,.549,1.0,1.9,2.9,0.4,,,0.7,1.9,2.4
14,George Bruns,PG,26,NYA,13,,18.2,2.4,5.1,.470,0.2,0.3,.500,2.2,4.8,.468,.485,1.7,2.1,.815,0.1,0.5,0.6,2.8,,,1.5,2.0,6.6
15,Don Buse,PG,22,INA,77,,19.3,2.1,4.7,.453,0.1,0.3,.208,2.1,4.4,.470,.460,1.1,1.4,.752,1.2,1.5,2.7,2.9,,,0.9,1.9,5.4
16,David Bustion,PF,23,DNR,47,,7.6,1.2,2.8,.436,0.0,0.0,,1.2,2.8,.436,.436,0.9,1.3,.712,0.8,1.3,2.1,0.4,,,1.1,1.7,3.4
17,Joe Caldwell,SF,31,CAR,77,,35.6,7.2,14.5,.496,0.0,0.1,.167,7.2,14.4,.498,.497,2.2,5.3,.425,2.5,2.7,5.1,4.6,2.2,,3.2,3.3,16.7
18,Mack Calvin,PG,25,CAR,84,,26.5,5.7,11.2,.506,0.1,0.3,.393,5.6,10.9,.510,.512,6.0,6.9,.859,1.2,1.4,2.6,3.6,,,2.9,2.6,17.5
19,Frank Card,SF,28,DNR,4,,9.0,1.5,3.8,.400,0.0,0.0,,1.5,3.8,.400,.400,2.3,3.3,.692,1.0,0.8,1.8,0.0,,,0.8,1.0,5.3
20,Darel Carrier,SG,32,MMT,16,,11.9,1.4,3.8,.383,0.3,0.8,.417,1.1,3.0,.375,.425,1.5,1.6,.923,0.1,0.8,0.9,0.6,,,0.9,1.3,4.7
21,George Carter,SF,29,NYA,83,,35.9,6.9,15.0,.456,0.0,0.1,.000,6.9,14.9,.459,.456,5.3,6.4,.832,2.5,3.7,6.2,2.1,,,3.1,3.7,19.0
22,Sam Cash,PF,22,MMT,7,,7.4,0.6,2.6,.222,0.0,0.0,,0.6,2.6,.222,.222,1.7,2.4,.706,1.6,1.1,2.7,0.0,0.7,0.4,2.3,1.6,2.9
23,Bill Chamberlain,SF,23,TOT,50,,13.3,2.2,5.6,.397,0.0,0.2,.250,2.2,5.5,.401,.401,0.7,1.2,.610,1.2,1.1,2.4,1.5,,,1.2,2.0,5.2
24,Jerry Chambers,SF,29,SDA,43,,20.6,4.6,10.9,.425,0.0,0.2,.200,4.6,10.7,.430,.427,2.6,3.0,.862,1.9,2.5,4.4,1.1,,,1.3,2.4,11.9
25,Jim Chones,PF,23,NYA,82,,26.3,4.8,9.4,.514,0.0,0.0,.000,4.8,9.4,.514,.514,1.7,2.9,.592,1.7,5.4,7.1,1.2,,,2.6,3.5,11.4
26,Glen Combs,SG,26,UTS,50,,29.8,4.6,10.7,.426,1.0,2.7,.381,3.5,8.0,.441,.474,3.1,3.8,.815,0.4,1.3,1.7,2.8,,,1.8,2.8,13.2
27,Billy Cunningham*,PF,29,CAR,84,,38.7,9.2,18.8,.487,0.2,0.6,.286,9.0,18.3,.493,.491,5.6,7.1,.789,2.9,9.2,12.0,6.3,2.6,,4.5,3.7,24.1
28,Louie Dampier*,PG,28,KEN,80,,38.0,6.4,14.3,.451,0.7,1.9,.348,5.8,12.4,.467,.474,3.3,4.2,.784,0.7,2.0,2.7,6.5,,,2.4,2.7,16.8
29,Mel Daniels*,C,28,INA,81,,38.3,7.2,15.0,.482,0.0,0.0,.250,7.2,15.0,.483,.483,4.0,5.5,.722,4.3,11.1,15.4,2.2,,1.9,3.4,3.9,18.5
30,Lee Davis,PF,27,MMT,78,,27.1,5.8,11.2,.520,0.0,0.0,.000,5.8,11.1,.522,.520,1.7,2.7,.627,2.9,4.9,7.8,1.1,,,1.2,3.4,13.3
31,Mike Davis,SG,26,MMT,38,,14.6,2.4,5.8,.419,0.2,0.6,.261,2.3,5.2,.437,.432,1.6,2.3,.713,0.6,0.5,1.1,1.2,,,0.9,2.3,6.7
32,Warren Davis,SF,29,MMT,73,,26.0,3.4,6.8,.502,0.0,0.0,,3.4,6.8,.502,.502,2.4,3.1,.758,2.1,5.0,7.1,2.0,,,1.8,2.9,9.2
33,Randy Denton,C,23,MMT,66,,33.4,7.2,14.8,.482,0.0,0.1,.375,7.1,14.7,.483,.484,2.7,3.6,.747,4.2,8.2,12.4,1.5,,,1.9,3.0,17.0
34,Joe DePre,SG,25,NYA,1,,12.0,2.0,5.0,.400,0.0,0.0,,2.0,5.0,.400,.400,0.0,0.0,,2.0,0.0,2.0,2.0,,,0.0,1.0,4.0
35,Coby Dietrick,C,24,DLC,77,,17.5,2.7,6.4,.419,0.0,0.0,,2.7,6.4,.419,.419,1.2,1.8,.691,1.7,3.2,4.9,1.8,,1.1,1.2,2.9,6.6
36,Jim Eakins,C,26,VIR,83,,30.8,5.2,9.9,.522,0.0,0.0,.000,5.2,9.9,.523,.522,4.6,5.8,.802,2.8,6.0,8.8,3.2,,1.6,2.8,3.5,15.0
37,Julius Erving*,SF,22,VIR,71,,42.2,12.6,25.4,.496,0.1,0.3,.208,12.5,25.1,.499,.497,6.7,8.6,.776,3.7,8.5,12.2,4.2,2.5,1.8,4.6,2.8,31.9
38,Bob Ford,SF,23,MMT,9,,8.2,0.6,1.9,.294,0.0,0.0,,0.6,1.9,.294,.294,0.4,0.6,.800,0.2,1.1,1.3,0.4,,,0.4,0.9,1.6
39,William Franklin,PF,23,VIR,73,,13.6,3.0,7.2,.416,0.0,0.1,.286,3.0,7.1,.418,.418,1.5,2.5,.598,1.7,2.3,4.0,0.7,,,1.7,2.2,7.5
40,Ronald Franz,SF,27,TOT,60,,15.2,2.5,5.1,.488,0.0,0.1,.250,2.5,5.0,.492,.490,2.4,3.4,.721,1.1,2.1,3.2,1.1,,,1.3,1.9,7.4
41,Donnie Freeman,SG,28,INA,77,,28.2,5.4,12.1,.442,0.0,0.1,.333,5.3,12.0,.442,.443,3.6,4.5,.808,1.3,1.5,2.8,2.5,,,2.1,2.9,14.3
42,Mike Gale,PG,22,KEN,81,,22.9,2.7,5.7,.471,0.0,0.1,.167,2.7,5.6,.475,.472,1.2,1.8,.699,1.0,2.0,3.0,3.1,1.6,,1.3,2.6,6.6
43,George Gervin*,SG,20,VIR,30,,23.0,5.4,11.4,.472,0.2,0.9,.231,5.2,10.5,.492,.481,3.2,3.9,.814,1.1,3.1,4.3,1.1,,,1.8,2.4,14.1
44,Artis Gilmore*,C,23,KEN,84,,41.7,8.2,14.6,.559,0.0,0.0,.500,8.2,14.6,.560,.560,4.4,6.8,.643,5.3,12.2,17.6,3.5,,3.1,3.4,3.6,20.8
45,Gerald Govan,C,31,UTS,84,,28.7,2.7,6.3,.432,0.0,0.0,,2.7,6.3,.432,.432,1.0,1.6,.600,2.1,7.4,9.5,3.0,,,2.0,3.3,6.4
46,Gary Gregor,SF,27,NYA,40,,14.9,2.5,5.1,.485,0.0,0.0,1.000,2.5,5.1,.483,.488,0.8,1.0,.821,1.0,2.8,3.8,0.8,,,1.0,2.1,5.8
47,Shaler Halimon,SF,27,DLC,29,,12.2,2.0,5.1,.396,0.0,0.2,.143,2.0,4.9,.408,.399,0.8,1.3,.622,0.6,1.3,1.9,1.7,,,1.5,1.8,4.9
48,Joe Hamilton,PG,24,DLC,83,,28.4,4.5,10.9,.410,0.8,2.3,.346,3.7,8.6,.428,.447,2.5,3.2,.798,0.6,2.0,2.6,3.9,,,1.7,3.0,12.2
49,Ira Harge,C,31,TOT,17,,10.4,0.8,2.4,.350,0.0,0.0,,0.8,2.4,.350,.350,0.4,0.6,.600,0.9,2.6,3.5,0.5,,,1.0,2.5,2.0
50,Simmie Hill,SF,26,SDA,69,,24.0,4.6,10.8,.424,0.4,1.0,.391,4.2,9.8,.427,.442,1.5,2.0,.763,1.8,3.3,5.1,1.9,,,2.2,3.2,11.0
51,Darnell Hillman,PF,23,INA,84,,30.3,3.9,8.8,.446,0.0,0.1,.000,3.9,8.6,.452,.446,1.8,3.0,.587,2.6,6.2,8.8,1.5,,1.4,1.8,3.5,9.6
52,Les Hunter,PF,30,MMT,63,,21.2,3.7,7.5,.498,0.1,0.5,.273,3.6,7.0,.515,.507,1.5,2.1,.704,1.5,3.3,4.8,1.5,,,1.5,2.9,9.1
53,George Irvine,SF,24,VIR,79,,26.3,5.4,10.2,.527,0.1,0.4,.212,5.3,9.8,.540,.531,2.1,2.6,.833,1.4,2.4,3.7,1.9,,,1.7,3.4,13.0
54,Dan Issel*,PF,24,KEN,84,,42.0,10.7,20.9,.513,0.0,0.2,.200,10.7,20.7,.516,.514,5.8,7.6,.764,3.9,7.1,11.0,2.6,,,2.6,3.0,27.3
55,Warren Jabali,PG,26,DNR,82,,33.4,5.4,11.9,.453,0.4,1.7,.257,4.9,10.2,.486,.471,5.9,7.3,.805,1.6,3.6,5.2,6.6,2.1,,3.7,3.4,17.0
56,Mervin Jackson,PG,26,MMT,22,,19.1,1.5,4.7,.330,0.2,0.5,.364,1.4,4.2,.326,.350,1.3,1.6,.800,0.4,1.3,1.7,3.7,,,1.6,2.8,4.5
57,Mike Jackson,PF,23,UTS,30,,6.4,1.2,2.8,.434,0.0,0.0,,1.2,2.8,.434,.434,0.9,1.5,.609,0.8,1.3,2.1,0.1,,,0.9,1.5,3.3
58,Gus Johnson*,SF,34,INA,50,,15.1,2.6,6.0,.441,0.1,0.4,.190,2.6,5.6,.460,.448,0.6,0.8,.738,1.7,3.2,4.9,1.2,,,1.4,2.3,6.0
59,Neil Johnson,PF,29,VIR,69,,20.9,3.0,6.2,.490,0.0,0.0,.000,3.0,6.2,.491,.490,1.5,2.3,.660,2.3,3.0,5.3,2.3,,,1.9,3.4,7.6
60,Stew Johnson,PF,28,SDA,80,,36.9,9.6,21.9,.440,0.5,1.7,.278,9.2,20.2,.453,.451,2.4,3.0,.819,2.2,5.2,7.5,2.2,,,2.0,3.2,22.1
61,Collis Jones,SF,23,DLC,81,,27.2,4.4,9.5,.465,0.0,0.1,.000,4.4,9.4,.469,.465,2.8,3.9,.714,3.2,3.2,6.4,1.8,,,1.8,2.8,11.6
62,Jimmy Jones,PG,28,UTS,80,,35.6,6.2,11.9,.523,0.0,0.0,.000,6.2,11.8,.524,.523,4.3,5.4,.799,0.9,3.3,4.2,5.6,,,3.3,3.4,16.7
63,Larry Jones,PG,30,TOT,80,,21.3,3.0,6.5,.461,0.2,0.7,.281,2.8,5.8,.483,.476,2.5,3.1,.828,1.1,1.9,3.0,2.6,,,1.3,2.3,8.7
64,Nick Jones,PG,27,DLC,3,,5.3,1.0,2.7,.375,0.0,0.0,,1.0,2.7,.375,.375,0.7,1.0,.667,0.3,0.0,0.3,0.3,,,0.7,1.3,2.7
65,Rich Jones,SF,26,DLC,67,,40.2,8.4,20.4,.413,0.6,1.9,.339,7.8,18.5,.421,.429,4.8,6.2,.783,2.6,7.4,10.0,4.1,,,3.4,3.6,22.3
66,Steve Jones,SG,30,TOT,80,,26.6,5.4,11.0,.487,0.2,0.4,.419,5.2,10.7,.489,.494,2.5,3.1,.810,0.7,2.1,2.8,1.5,,,1.9,2.8,13.4
